Lp.;Wybór;Nazwa jaskini;Kod;Dł.;Den.;Gł.;Przew.;Zaznacz wszystkieOdznacz wszystkie Exportuj zaznaczone 
548;;JASKINIA W SKRZYCZNEM I;K.Bs-03. 01;11.00;0.00;0.00;0.00;Szczegóły GPS
549;;JASKINIA W SKRZYCZNEM II;K.Bs-03. 04;5.00;0.00;0.00;0.00;Szczegóły GPS
550;;JASKINIA W SKRZYCZNEM III;K.Bs-03.02;9.50;0.00;0.00;0.00;Szczegóły GPS
551;;JASKINIA W SKRZYCZNEM IV;K.Bs-03.05 N;10.00;2.35;0.00;0.00;Szczegóły GPS
552;;JASKINIA W SKRZYCZNEM IX;K.Bs-03.19;11.00;2.00;2.00;0.00;Szczegóły GPS
553;;JASKINIA W SKRZYCZNEM V;K.Bs-03.06 N;6.00;0.00;0.00;0.00;Szczegóły GPS
554;;JASKINIA W SKRZYCZNEM VI;K.Bs-03. 12;14.00;0.00;0.00;0.00;Szczegóły GPS
555;;JASKINIA W SKRZYCZNEM VII;K.Bs-03. 16;6.00;0.00;0.00;0.00;Szczegóły GPS
556;;JASKINIA W SKRZYCZNEM VIII;K.Bs-03. 14;9.00;0.00;0.00;0.00;Szczegóły GPS
557;;JASKINIA W SKRZYCZNEM XI;K.Bs-03. 10;9.00;0.00;0.00;0.00;Szczegóły GPS
558;;JASKINIA W SKRZYCZNEM XIII;K.Bs-03. 18;7.00;0.00;0.00;0.00;Szczegóły GPS
559;;JASKINIA W SKRZYCZNEM XV;K.Bs-03.198;6.30;0.00;0.00;0.00;Szczegóły
560;;JASKINIA W SOPOTNI WIELKIEJ;K.Bż-02.05;106.00;7.00;7.00;0.00;Szczegóły GPS
561;;JASKINIA W STOKÓWCE;K.Bs-03.197;7.00;4.20;4.20;0.00;Szczegóły GPS
562;;JASKINIA W STOŁOWIE;K.Bs-04. 13;91.00;7.30;7.20;0.10;Szczegóły GPS
563;;JASKINIA W STOŁOWIE II;K.Bs-04.14;13.00;5.00;5.00;0.00;Szczegóły GPS
564;;JASKINIA W STOŁOWIE III;K.Bs-04.30;3.50;2.50;2.50;0.00;Szczegóły GPS
565;;JASKINIA W STRACONCE;K.Bm-01.07;135.00;16.89;16.89;0.00;Szczegóły GPS
566;;JASKINIA W SURMIAKÓW GRONIU;K.Bmk-02.13;32.00;4.70;4.70;0.00;Szczegóły
567;;JASKINIA W SZYNDZIELNI I;K.Bs-04.16;9.00;0.00;0.00;0.00;Szczegóły GPS
568;;JASKINIA W SZYNDZIELNI VIII;K.Bs-04.168;5.00;0.00;0.00;0.00;Szczegóły
569;;JASKINIA W TRZECH KAMIENIACH;K.Bs-02.18;6.00;0.00;0.00;0.00;Szczegóły GPS
