Lp.;Wybór;Nazwa jaskini;Kod;Dł.;Den.;Gł.;Przew.;Zaznacz wszystkieOdznacz wszystkie Exportuj zaznaczone 
725;;NISKA DZIURA;K.Bn-04.03;11.00;2.00;2.00;0.00;Szczegóły
726;;NISKA SZCZELINA;K.Bw-01.11;2.50;0.00;0.00;0.00;Szczegóły GPS
727;;NISKI OKAP;K.Bm-02.36;2.00;0.00;0.00;0.00;Szczegóły
728;;NISKI OKAP;K.Pr-02.23;2.50;0.00;0.00;0.00;Szczegóły GPS
729;;NISKI OKAP W WIŚLE CZARNEM;K.Bs-02.225;1.10;0.00;0.00;0.00;Szczegóły GPS
730;;NISKI TUNEL;K.Pw-01.09;2.00;0.00;0.00;0.00;Szczegóły
731;;NISZA NAD WODOSPADEM CZAROWNIC;K.Pc-01.24;5.00;0.50;0.50;0.00;Szczegóły
732;;NISZA PRZY DRODZE;K.Bn-07.29;2.00;0.00;0.00;0.00;Szczegóły
733;;NISZA W WAROWNI;K.Pc-01.16;4.00;0.00;0.00;0.00;Szczegóły
734;;NIŻNA KOLEBA;K.Bn-07.24;3.00;1.50;0.00;1.50;Szczegóły
735;;NORA CYKLISTÓW;K.Pd-01.37;3.00;1.50;1.50;0.00;Szczegóły
736;;NORA KLASSKA;K.Bs-03.42;2.00;0.00;0.00;0.00;Szczegóły GPS
737;;NORA KUBY KRAJEWSKIEGO;K.Bs-01.13;2.80;0.00;0.00;0.00;Szczegóły GPS
738;;NORA NAD IKSEM;K.Bs-04.112;3.00;0.00;0.00;0.00;Szczegóły
739;;NORA NAD POTOKIEM;K.Bn-07.13;4.00;0.00;0.00;0.00;Szczegóły
740;;NORA NOCLEGOWA;K.Bm-02.19;2.50;0.00;0.00;0.00;Szczegóły GPS
741;;NORA PIĘTKI;K.Bs-03.190;9.70;0.00;0.00;0.00;Szczegóły
742;;NORA POD KORZENIEM;K.Bs-04.102 X;0.00;0.00;0.00;0.00;Szczegóły
743;;NORA POD KORZENIEM II;K.Bs-04.106;3.00;1.00;1.00;0.00;Szczegóły
744;;NORA POD SPORYM KAMIENIEM;K.Pr-01.25;4.00;1.00;1.00;0.00;Szczegóły
745;;NORA POD WYKROTEM;K.Bs-03.140;2.50;0.00;0.00;0.00;Szczegóły
746;;NORA PRZECHODNIA NA MURONCE;K.Bs-02.130;2.50;0.00;0.00;0.00;Szczegóły GPS
747;;NORA PRZED JASKINIĄ W BORACZEJ;K.Bż-02.12;1.60;0.00;0.00;0.00;Szczegóły GPS
748;;NORA UKRYTA W LIŚCIACH;K.Pr-01.24;3.00;0.00;0.00;0.00;Szczegóły
749;;NORA W KAMIENIOŁOMIE;K.Bm-01.05;1.50;0.00;0.00;0.00;Szczegóły
750;;NORA W KICZORZE;K.Bm-02.15;3.00;0.00;0.00;0.00;Szczegóły GPS
751;;NORA W KOŚCIELCU ZE ŚNIEGIEM;K.Bs-03.55;4.00;2.50;2.50;0.00;Szczegóły GPS
752;;NORA W MIĘDZYBRODZIU BIALSKIM;K.Bm-01.24;1.40;0.00;0.00;0.00;Szczegóły
753;;NORA W WANTACH;K.Bm-02.04;4.50;0.00;0.00;0.00;Szczegóły GPS
754;;NORA W ZBÓJECKIM OKNIE;K.Bm-02.41;4.00;0.00;0.00;0.00;Szczegóły GPS
755;;NORA Z KORZENIEM NA MURONCE;K.Bs-02.129;4.50;0.00;0.00;0.00;Szczegóły GPS
756;;NORA Z PROGIEM;K.Bs-02. 35 N;7.00;3.00;3.00;0.00;Szczegóły
757;;NORA ZE SZCZELINĄ;K.Bw-01.18;2.00;0.00;0.00;0.00;Szczegóły GPS
758;;NORKA POD BESKIDEM;K.Bm-02.45;2.50;0.00;0.00;0.00;Szczegóły GPS
759;;NORKA W WĘDRUJĄCYCH KAMIENIACH;K.Bm-02.44;2.50;2.50;2.50;0.00;Szczegóły GPS
760;;NOWA DZIURA;K.Bn-09.24;22.00;5.50;0.00;0.00;Szczegóły
761;;NYŻA POD GŁAZEM;K.Pr-01.41;2.00;0.00;0.00;0.00;Szczegóły
762;;NYŻA POD SKAŁKĄ W CZARTAKU;K.Bmk-03.08;1.50;0.00;0.00;0.00;Szczegóły
763;;OBIEKT ADAMA NA MURONCE;K.Bs-02.136;3.50;0.00;0.00;0.00;Szczegóły GPS
764;;OBIEKT CIASNY NA MURONCE;K.Bs-02.116;3.00;2.50;2.50;0.00;Szczegóły GPS
765;;OBIEKT DWUPŁYTOWY NA MURONCE;K.Bs-02.139;3.50;0.00;0.00;0.00;Szczegóły GPS
766;;OBIEKT DYSKUSYJNY NA MURONCE;K.Bs-02.133;3.00;0.00;0.00;0.00;Szczegóły GPS
767;;OBIEKT JASNY NA MURONCE;K.Bs-02.140;1.50;0.00;0.00;0.00;Szczegóły GPS
768;;OBIEKT KORZENNY W KAMESZNICY;K.Bs-02.159;4.00;2.50;0.00;2.50;Szczegóły GPS
769;;OBIEKT M-4 - WYTRZYSZCZONA 2;K.Bs-02.268;3.40;0.00;0.00;0.00;Szczegóły GPS
770;;OBIEKT W MAGURZE RADZIECHOWSKIEJ 1;K.Bs-02. 64;2.00;0.00;0.00;0.00;Szczegóły
771;;OBIEKT W MAGURZE RADZIECHOWSKIEJ 2;K.Bs-02. 65;3.00;1.50;1.50;0.00;Szczegóły
772;;OBŁY KORYTARZ;K.Pd-01.27;3.00;1.30;1.30;0.00;Szczegóły
773;;ODGRUZOWANA ZIMNA NORA;K.Bm-02.16;4.50;0.00;0.00;0.00;Szczegóły GPS
774;;ODKOPANY SCHRON ZA KORZENIEM;K.Bm-01.16;2.00;0.00;0.00;0.00;Szczegóły GPS
775;;OKAP;K.Bs-02. 52 N;2.50;0.00;0.00;0.00;Szczegóły
776;;OKAP ALDOWINA;K.Bn-11.06;2.00;0.00;0.00;0.00;Szczegóły
777;;OKAP BEZ SZCZELINY;K.Bmk-02.02;2.00;0.00;0.00;0.00;Szczegóły
778;;OKAP CZARNEGO MOTYLA NA SKZYCZNYM;K.Bs-03.102;2.60;0.00;0.00;0.00;Szczegóły GPS
779;;OKAP GÓRNY W KAMESZNICY;K.Bs-02.163;1.50;0.00;0.00;0.00;Szczegóły GPS
780;;OKAP GREBLA NA MURONCE;K.Bs-02.95;1.30;1.53;0.00;0.00;Szczegóły GPS
781;;OKAP KOŁO LEŚNICZÓWKI W KAMESZNICY;K.Bs-02.164;1.50;0.00;0.00;0.00;Szczegóły GPS
782;;OKAP KUBUSIA;K.Bm-02.72;1.50;0.00;0.00;0.00;Szczegóły
783;;OKAP LODOWEGO ZGRYZU;K.Bs-03.175;3.00;0.00;0.00;0.00;Szczegóły GPS
784;;OKAP ŁASKI;K.Bm-02.49 S;1.80;0.70;0.00;0.00;Szczegóły GPS
785;;OKAP NA BIAŁYM KRZYŻU;K.Bs-04.148;1.70;0.00;0.00;0.00;Szczegóły GPS
786;;OKAP NA KOBYLEJ;K.Bs-01.03;2.50;0.00;0.00;0.00;Szczegóły GPS
787;;OKAP NA KOTARZU;K.Bs-04.54;2.00;0.00;0.00;0.00;Szczegóły GPS
788;;OKAP NA SKAŁCE W BRENNEJ;K.Bs-04.108;1.85;0.00;0.00;0.00;Szczegóły GPS
789;;OKAP NA STOŻKU LEWY;K.Bs-01.20;1.50;0.00;0.00;0.00;Szczegóły GPS
790;;OKAP NA STOŻKU PRAWY;K.Bs-01.21;3.00;0.00;0.00;0.00;Szczegóły GPS
791;;OKAP NA WĄTKOWEJ;K.Bn-05.17;3.00;0.00;0.00;0.00;Szczegóły
792;;OKAP NA ZAKRĘCIE NA BARANIEJ GÓRZE;K.Bs-02.242;1.30;0.00;0.00;0.00;Szczegóły
793;;OKAP NAD CIĘCINĄ;K.Bs-02.94;1.60;0.00;0.00;0.00;Szczegóły GPS
794;;OKAP NAD DROGĄ;K.Bs-03. 49;2.00;0.00;0.00;0.00;Szczegóły GPS
795;;OKAP NAD DUSICĄ;K.Bm-02.81;2.00;0.00;0.00;0.00;Szczegóły
796;;OKAP NAD GOLESZOWSKIM POTOKIEM;K.Bs-03.128;2.70;0.00;0.00;0.00;Szczegóły GPS
797;;OKAP NAD OLZĄ;K.Bs-01.08;1.50;2.30;0.00;0.00;Szczegóły GPS
798;;OKAP NAD POTOKIEM;K.Bs-03. 79;1.50;0.00;0.00;0.00;Szczegóły
799;;OKAP NAD POTOKIEM CEBULOWYM;K.Bż-03.05;2.70;0.00;0.00;0.00;Szczegóły GPS
800;;OKAP NAD POTOKIEM W KOŚCIELCU I;K.Bm-02.60;1.00;0.00;0.00;0.00;Szczegóły GPS
801;;OKAP NAD POTOKIEM W KOŚCIELCU II;K.Bm-02.61;2.00;0.00;0.00;0.00;Szczegóły GPS
802;;OKAP NAD PRZYBĘDZĄ I;K.Bs-02.237;3.00;0.00;0.00;0.00;Szczegóły
803;;OKAP NAD PRZYBĘDZĄ II;K.Bs-02.238;1.40;0.00;0.00;0.00;Szczegóły
804;;OKAP NAD RZEKĄ;K.Bs-02.76;2.00;0.00;0.00;0.00;Szczegóły GPS
805;;OKAP NAD TRASĄ FIS NA SKRZYCZNEM;K.Bs-03.129 X;1.20;0.00;0.00;0.00;Szczegóły GPS
806;;OKAP NAD TWADORZECZKĄ;K.Bs-02.131;2.00;0.00;0.00;0.00;Szczegóły GPS
807;;OKAP NAD WILKOWICAMI;K.Bm-01.15 S;1.50;2.50;0.00;0.00;Szczegóły GPS
808;;OKAP NAD WODOSPADEM CZAROWNIC;K.Pc-01.27;2.50;0.00;0.00;0.00;Szczegóły
809;;OKAP NAD ZALEWEM;K.Pwl-01.05;2.00;0.00;0.00;0.00;Szczegóły
810;;OKAP NAD ZAPORĄ;K.Bm-01.08;2.00;0.00;0.00;0.00;Szczegóły GPS
811;;OKAP POCHYŁY NA MURONCE;K.Bs-02.103;4.00;0.00;0.00;0.00;Szczegóły GPS
812;;OKAP POCHYŁY NA ZAMCZYSKU;K.Bm-02.58;2.00;0.00;0.00;0.00;Szczegóły GPS
813;;OKAP POD 976 W DOLINIE TWARDORZECZKI;K.Bs-02.264;1.50;0.00;0.00;0.00;Szczegóły GPS
814;;OKAP POD BUTANEM;K.Bn-04.12;6.00;3.50;0.00;3.50;Szczegóły
815;;OKAP POD GWIAZDAMI;K.Pd-01.25;4.50;0.00;0.00;0.00;Szczegóły
816;;OKAP POD JASKINIĄ KOMONIECKIEGO;K.Bm-02.39;2.40;0.00;0.00;0.00;Szczegóły GPS
817;;OKAP POD KWADRATOWĄ SKAŁĄ NA MURONCE;K.Bs-02.121;3.00;0.00;0.00;0.00;Szczegóły GPS
818;;OKAP POD MALINOWEM III;K.Bs-03. 54;1.70;0.00;0.00;0.00;Szczegóły GPS
819;;OKAP POD SZCZEBLEM;K.Bw-01.15;3.00;0.00;0.00;0.00;Szczegóły
820;;OKAP POD WIĘZIENIEM;K.Pw-01.04 X;2.50;0.00;0.00;0.00;Szczegóły
821;;OKAP POD WIĘZIENIEM;K.Pw-02.07;2.50;0.00;0.00;0.00;Szczegóły
822;;OKAP POD WODOSPADEM W JAMNEJ;K.Pr-02.20;3.00;4.50;0.00;4.50;Szczegóły
823;;OKAP POŁUDNIOWY W KAMESZNICY;K.Bs-02.161;1.80;2.00;0.00;0.00;Szczegóły GPS
824;;OKAP POWYŻEJ SKAŁKI NAD ZŁATNĄ;K.Bs-02.145;3.00;0.00;0.00;0.00;Szczegóły GPS
825;;OKAP PRZY KAMIENNEJ SZKÓŁCE;K.Bs-02.259;1.40;0.00;0.00;0.00;Szczegóły
826;;OKAP PRZY MOŚCIE W KAMESZNICY;K.Bs-02.160;1.70;0.00;0.00;0.00;Szczegóły GPS
827;;OKAP PRZY WODOSPADZIE;K.Bn-06.07;4.00;1.00;0.00;1.00;Szczegóły
828;;OKAP PRZY ZAMKU Z ZIELONYM LIŚCIEM;K.Pr-02.27;3.00;1.00;1.00;0.00;Szczegóły GPS
829;;OKAP STRZELISTY POD PILSKIEM;K.Bż-03.11;4.00;1.80;1.80;0.00;Szczegóły GPS
830;;OKAP ŚRODKOWY NA MURONCE;K.Bs-02.112;2.50;0.00;0.00;0.00;Szczegóły GPS
831;;OKAP W CERGOWEJ;K.Bn-10.17;5.50;0.00;0.00;0.00;Szczegóły
832;;OKAP W CERGOWEJ II;K.Bn-10.23;6.00;1.60;1.20;0.40;Szczegóły
833;;OKAP W DIABLIM KAMIENIU;K.Bw-04.01;3.50;2.50;0.00;2.50;Szczegóły
834;;OKAP W GRABOWEJ;K.Bs-04.79;3.00;0.00;0.00;0.00;Szczegóły
835;;OKAP W KOŚCIELCU;K.Bs-03.178;2.50;1.70;0.00;0.00;Szczegóły GPS
836;;OKAP W MALINCE;K.Bs-03.40;16.00;0.00;0.00;0.00;Szczegóły
837;;OKAP W MAŁYM GIBASOWYM GRONIU;K.Bm-02.50;1.10;0.60;0.00;0.00;Szczegóły GPS
838;;OKAP W NIEDŹWIEDZIACH;K.Bs-02.211;2.00;0.00;0.00;0.00;Szczegóły GPS
839;;OKAP W OCZKOWIE;K.Bm-02.43 S;1.30;0.50;0.00;0.00;Szczegóły GPS
840;;OKAP W ODPĘKNIĘTEJ SKALE;K.Bż-03.03;4.00;0.00;0.00;0.00;Szczegóły GPS
841;;OKAP W OWCY;K.Pd-01.35;7.00;3.00;3.00;0.00;Szczegóły
842;;OKAP W SKALE SZUTYSKIEJ;K.Bsz-02.24;2.80;0.00;0.00;0.00;Szczegóły
843;;OKAP W SPALONEJ GÓRZE I;K.Bn-11.04;2.50;0.00;0.00;0.00;Szczegóły
844;;OKAP W SPALONEJ GÓRZE II;K.Bn-11.05;2.00;0.00;0.00;0.00;Szczegóły
845;;OKAP W STRAŻNICY;K.Bm-02.48;3.00;3.00;0.00;0.00;Szczegóły GPS
846;;OKAP W ŚCIANIE;K.G-01.08;3.00;0.00;0.00;0.00;Szczegóły
847;;OKAP W ŚNIEŻNICY;K.Bw-04.02;3.00;0.00;0.00;0.00;Szczegóły
848;;OKAP W URWISKU W WIŚLE CZARNE;K.Bs-02.177;2.50;0.00;0.00;0.00;Szczegóły GPS
849;;OKAP W WIŚLE MALINCE;K.Bs-03.206;1.90;0.00;0.00;0.00;Szczegóły GPS
850;;OKAP W ŻURAWICY I;K.Bmk-01.04;1.60;0.00;0.00;0.00;Szczegóły
851;;OKAP W ŻURAWICY II;K.Bmk-01.07;1.70;0.00;0.00;0.00;Szczegóły
852;;OKAP WODNY NA DUSICY;K.Bm-02.82 X;1.50;0.00;0.00;0.00;Szczegóły
853;;OKAP WSCHODNI KOŁO GRZYBA W WIŚLE CZARNE;K.Bs-02.169;1.70;0.00;0.00;0.00;Szczegóły GPS
854;;OKAP Z FILAREM NAD TWARDORZECZKĄ;K.Bs-02.147;3.30;2.80;0.00;0.00;Szczegóły GPS
855;;OKAP Z FILARKIEM;K.Bn-11.12;11.00;3.40;0.00;3.40;Szczegóły
856;;OKAP Z FILARKIEM W KAMESZNICY;K.Bs-02.162;1.50;1.50;0.00;0.00;Szczegóły GPS
857;;OKAP Z KOKONEM NA MURONCE;K.Bs-02.111;4.00;2.00;0.00;0.00;Szczegóły GPS
858;;OKAP Z MAKARONAMI NA MURONCE;K.Bs-02.135;3.20;0.00;0.00;0.00;Szczegóły GPS
859;;OKAP Z NAPISEM NA KOŚCIELCU;K.Bs-03.113;1.70;0.00;0.00;0.00;Szczegóły GPS
860;;OKAP Z PŁYTĄ NAD POTOKIEM CEBULOWYM;K.Bż-03.06;1.00;0.00;0.00;0.00;Szczegóły GPS
861;;OKAP Z TRZEMA SZCZELINAMI;K.Bn-07.31;13.00;3.50;0.00;3.50;Szczegóły
862;;OKAP Z ZIEMIĄ NAD POTOKIEM CEBULOWYM;K.Bż-03.07;2.00;0.00;0.00;0.00;Szczegóły GPS
863;;OKAP ZBIGNIEWA MASTALSKIEGO;K.Bs-01.11;1.60;0.00;0.00;0.00;Szczegóły GPS
864;;OKAP ZE SZCZELINĄ NA ZAMCZYSKU;K.Bm-02.59;2.50;0.00;0.00;0.00;Szczegóły GPS
865;;OKAP ZE SZPARĄ W WIŚLE CZARNEM;K.Bs-02.222;2.50;0.00;0.00;0.00;Szczegóły GPS
866;;OKNO NA ZAKRĘCIE NA BARANIEJ GÓRZE;K.Bs-02.241;3.50;0.00;0.00;0.00;Szczegóły GPS
867;;OKNO W KAMIENIU;K.Bn-06.10;3.00;0.00;0.00;0.00;Szczegóły
868;;OKNO W KOŚCIELCU;K.Bs-02.181 X;1.90;0.00;0.00;0.00;Szczegóły
869;;OKNO W KOŚCIELCU;K.Bs-03.165;1.90;0.00;0.00;0.00;Szczegóły GPS
870;;OMSZAŁA JAMA;K.Bsd-02.17;6.00;0.00;0.00;0.00;Szczegóły
871;;ONDRASZEK III;K.Bs-03.65;4.00;1.50;1.50;0.00;Szczegóły GPS
872;;OSTRY OKAP NA MURONCE;K.Bs-02.127;2.00;0.00;0.00;0.00;Szczegóły GPS
873;;OTWARTY OKAP NAD TWARDORZECZKĄ;K.Bs-02.148;1.20;0.00;0.00;0.00;Szczegóły GPS
874;;PAJĘCZA SZCZELINA;K.Bn-09.74;16.00;4.00;4.00;0.00;Szczegóły
875;;PAJĘCZY SCHRON;K.G-01.37;1.80;0.00;0.00;0.00;Szczegóły
876;;PAŃSKA JAMA;K.Pst-01.15;5.00;1.50;1.50;0.00;Szczegóły
877;;PARCHART SCHRON II;K.Bs-02.198;2.00;0.00;0.00;0.00;Szczegóły GPS
878;;PARCHATY SCHRON I;K.Bs-02.197;1.80;0.00;0.00;0.00;Szczegóły GPS
879;;PARCHATY SCHRON III;K.Bs-02.199;1.80;0.00;0.00;0.00;Szczegóły GPS
880;;PARTYZANCKA JAMA;K.Bn-01.01;47.00;14.00;14.00;0.00;Szczegóły GPS
881;;Patrz obiekt K.Bm-01.17;K.Bm-02.76 X;0.00;0.00;0.00;0.00;Szczegóły
882;;Patrz obiekt K.Bm-01.18;K.Bm-02.70 X;0.00;0.00;0.00;0.00;Szczegóły
883;;Patrz obiekt K.Bm-01.19;K.Bm-02.69 X;0.00;0.00;0.00;0.00;Szczegóły
884;;Patrz obiekt K.Bm-01.20;K.Bm-02.68 X;0.00;0.00;0.00;0.00;Szczegóły
885;;Patrz obiekt K.Bm-01.21;K.Bm-02.75 X;0.00;0.00;0.00;0.00;Szczegóły
886;;Patrz obiekt K.Bm-01.22;K.Bm-02.74 X;0.00;0.00;0.00;0.00;Szczegóły
887;;Patrz obiekt K.Bm-01.23;K.Bm-02.73 X;0.00;0.00;0.00;0.00;Szczegóły
888;;PIECZARA POD LIWOCZEM;K.Pc-02.03;5.00;0.00;0.00;0.00;Szczegóły
889;;PIECZARA ŚW. ŚWIERADA;K.Pr-01.21;2.50;0.00;0.00;0.00;Szczegóły
890;;PIECZARA W ROWIE;K.Bm-02.37;7.50;2.00;1.80;0.20;Szczegóły
891;;PIECZARA W ROWIE II;K.Bm-02.30;2.00;0.00;0.00;0.00;Szczegóły
892;;PIETRASZKOWA STUDNIA;K.Bs-03.130;75.00;13.00;13.00;0.00;Szczegóły GPS
893;;PIETRASZKOWA SZCZELINA DOLNA;K.Bs-03.119;3.50;1.10;1.10;0.00;Szczegóły
894;;PIETRASZKOWA SZCZELINA GÓRNA;K.Bs-03.108;9.20;3.80;3.80;0.00;Szczegóły
895;;PIETRASZKOWY SCHRON;K.Bs-03.105;5.00;1.30;1.30;0.00;Szczegóły
896;;PIĘKNY OKAP NA MURONCE;K.Bs-02.142;2.00;0.00;0.00;0.00;Szczegóły GPS
897;;PIĘTROWA KOLEBA;K.Bw-01.13;4.00;0.00;0.00;0.00;Szczegóły GPS
898;;PIĘTROWY OKAP NAD TWARDORZECZKĄ;K.Bs-02.146;2.40;0.00;0.00;0.00;Szczegóły GPS
899;;PIĘTROWY OKAP POD WYTRZYSZCZONĄ 1;K.Bs-02.265;3.00;6.00;0.00;0.00;Szczegóły GPS
900;;PIONOWA SZPARA NA MURONCE;K.Bs-02.102;1.00;0.00;0.00;0.00;Szczegóły GPS
901;;PIWNICA BISKUPA;K.Bsz-01.15;3.20;2.00;2.00;0.00;Szczegóły
902;;PIWNICA IZWORYKI;K.Bsd-02.56 S;3.50;0.00;0.00;0.00;Szczegóły
903;;PIWNICA JASIENIÓWKA;K.Bsd-02.60 S;2.50;0.00;0.00;0.00;Szczegóły
904;;PIWNICA NA POLANIE BETLEJOWEJ;K.Bsd-02.57 S;2.50;0.00;0.00;0.00;Szczegóły
905;;PIWNICA NAD DŁUGOSZÓWKĄ;K.Bsd-02.50 S;3.50;0.00;0.00;0.00;Szczegóły
906;;PIWNICA PARCHOWATKA;K.Bsd-02.51 S;2.50;0.00;0.00;0.00;Szczegóły
907;;PIWNICA PARTYZANCKA NA UPŁAZIE;K.G-02.02;4.00;3.50;3.50;0.00;Szczegóły
908;;PIWNICA POŁYMIA I;K.Bsd-02.52 S;3.00;0.00;0.00;0.00;Szczegóły
909;;PIWNICA POŁYMIA II;K.Bsd-02.53 S;3.00;0.00;0.00;0.00;Szczegóły
910;;PIWNICA W BIECZU;K.Pc-02.06;10.00;2.00;0.00;2.00;Szczegóły GPS
911;;PIWNICA W CZERSZLI;K.Bsd-02.68 S;5.50;1.60;1.60;0.00;Szczegóły
912;;PIWNICA W DOLINIE MŁACZNEJ;K.Bsd-02.58 S;4.50;0.00;0.00;0.00;Szczegóły
913;;PIWNY SCHRON;K.Pr-02.18;5.00;0.00;0.00;0.00;Szczegóły
914;;PŁASKI SCHRON;K.Bs-03.61;3.50;0.00;0.00;0.00;Szczegóły GPS
915;;POCHYŁY KORYTARZ;K.Bn-04.05 N;3.50;2.00;0.00;0.00;Szczegóły
916;;POD WANTĄ NA MURONCE;K.Bs-02.124;3.00;2.00;2.00;0.00;Szczegóły GPS
917;;PODCIĘTY OKAP;K.Pw-01.12;2.40;0.00;0.00;0.00;Szczegóły
918;;PODŁUŻNA KOLEBA;K.Bs-02.204;3.20;0.00;0.00;0.00;Szczegóły GPS
919;;PODWÓJNA STUDNIA;K.Bw-02.02;8.00;5.00;5.00;0.00;Szczegóły GPS
920;;PODWÓJNY DZIADOWSKI SCHRON;K.Bs-03.161;3.20;0.00;0.00;0.00;Szczegóły GPS
921;;PODZIURAWIONA NORA;K.Bsd-02.65;2.50;0.00;0.00;0.00;Szczegóły
922;;POŁUDNIOWY SZTUCZNY OBIEKT W GRODŹCU;K.Ps-02.03 S;1.10;0.00;0.00;0.00;Szczegóły GPS
923;;PORĘBSKA KOLEBA;K.Bmk-04.01;3.00;0.00;0.00;0.00;Szczegóły
924;;POŚREDNIA GROTA;K.Pwl-03.03 S;5.00;2.00;0.00;0.00;Szczegóły
925;;PÓŁNOCNY SZTUCZNY OBIEKT W GRODŹCU;K.Ps-02.02 S;2.00;0.00;0.00;0.00;Szczegóły GPS
926;;PRZEGRODZONY SCHRON;K.Bs-04.61;3.30;0.00;0.00;0.00;Szczegóły GPS
927;;PRZEPASTNA JAMA;K.G-01.17;16.00;6.00;6.00;0.00;Szczegóły
928;;PRZEZIOROWA JAMA;K.Bsd-01.09;7.00;0.00;0.00;0.00;Szczegóły
929;;PRZYWODNY SCHRON;K.Bs-03.219;2.70;0.00;0.00;0.00;Szczegóły GPS
930;;PTASI SCHRON;K.Bn-07.40;2.50;1.00;0.00;1.00;Szczegóły
931;;PUŁAPKA NA MURONCE;K.Bs-02.120;2.50;0.00;0.00;0.00;Szczegóły GPS
932;;PUTYKA BIOŁEGO;K.Bs-03.205;20.00;0.00;0.00;0.00;Szczegóły
933;;ROZPADLINOWE SCHRONISKO;K.Bż-05.38;3.50;1.50;1.50;0.00;Szczegóły
934;;ROZSYPANY SCHRON W ŚWINI GRONIU;K.G-02.07;2.00;0.50;0.00;0.00;Szczegóły
935;;RÓW NAD SREBRNĄ;K.Bs-03.218;2.00;0.00;0.00;0.00;Szczegóły GPS
936;;RUSKA KOLEBA;K.Bn-07.35;4.00;1.50;0.00;1.50;Szczegóły
937;;RYGLICKA DZIURA;K.Bn-07.15;5.00;0.00;0.00;0.00;Szczegóły GPS
938;;RYSIA DZIURA;K.Bw-02.38;3.00;2.00;2.00;0.00;Szczegóły GPS
939;;RYSIA JAMA;K.Bsd-02.26;3.00;0.00;0.00;0.00;Szczegóły
940;;SALA POD WIELKIM GŁAZEM NAD HALĄ GÓROWĄ;K.Bż-03.14;7.00;2.50;2.50;0.00;Szczegóły GPS
941;;SALMOPOLSKA SZCZELINA;K.Bs-04.81;2.50;1.60;1.60;0.00;Szczegóły
942;;SALMOPOLSKI SCHRON 6;K.Bs-04. 87;2.00;0.00;0.00;0.00;Szczegóły
943;;SALMOPOLSKI SCHRON I;K.Bs-04.82;4.00;0.00;0.00;0.00;Szczegóły
944;;SALMOPOLSKI SCHRON II;K.Bs-04.83;2.30;0.00;0.00;0.00;Szczegóły
945;;SALMOPOLSKI SCHRON III;K.Bs-04.84;2.00;0.00;0.00;0.00;Szczegóły
946;;SALMOPOLSKI SCHRON V;K.Bs-04.85;2.50;0.00;0.00;0.00;Szczegóły
947;;SALMOPOLSKI SCHRON V;K.Bs-04.86;2.00;0.00;0.00;0.00;Szczegóły
948;;SALMOPOLSKI SCHRON VII;K.Bs-04.88;2.50;2.40;2.40;0.00;Szczegóły
949;;SARNIA KOLEBA;K.Bn-07.22;2.00;1.00;0.00;1.00;Szczegóły
950;;SARNIA SZCZELINA;K.Pd-01.46;9.00;4.00;0.00;4.00;Szczegóły
951;;SCHONISKO ZLEPIEŃCOWE;K.Pd-01.44;3.00;0.00;0.00;0.00;Szczegóły
952;;SCHRON BABICKI I;K.Bs-02.258;1.80;0.00;0.00;0.00;Szczegóły
953;;SCHRON BABICKI II;K.Bs-02.257;1.00;0.00;0.00;0.00;Szczegóły GPS
954;;SCHRON BABICKI III;K.Bs-02.252;1.60;0.00;0.00;0.00;Szczegóły GPS
955;;SCHRON BEZ ŚCIAN;K.Bs-02.62;3.00;0.00;0.00;0.00;Szczegóły GPS
956;;SCHRON DIABLE BOISKO;K.Pr-02.09;11.00;0.00;0.00;0.00;Szczegóły GPS
957;;SCHRON DLA DWÓCH OSÓB;K.Bs-03.64;2.70;0.00;0.00;0.00;Szczegóły GPS
958;;SCHRON FORTEPIAN;K.Bs-04.62;3.20;0.00;0.00;0.00;Szczegóły GPS
959;;SCHRON GAWRA;K.Bsz-01.06 N;2.50;0.00;0.00;0.00;Szczegóły
960;;SCHRON GDZIE GANSZERA NIE BYŁO;K.Bs-02. 86;2.10;0.00;0.00;0.00;Szczegóły
961;;SCHRON GDZIE KLOPSIKA NIE BYŁO;K.Bsz-01.10;3.50;1.00;0.00;1.00;Szczegóły
962;;SCHRON GUBAŁÓWKA (SCHRONISKO L-50);K.Bn-09.28;3.00;0.00;0.00;0.00;Szczegóły
963;;SCHRON JERZEGO PUKOWSKIEGO;K.Bs-01.12;1.50;0.00;0.00;0.00;Szczegóły GPS
964;;SCHRON KAMIENNA PUŁAPKA;K.G-01.31;4.00;2.00;2.00;0.00;Szczegóły
965;;SCHRON KOŁO DYDIOWSKIEJ JAMY;K.Bsz-02.07;2.00;0.00;0.00;0.00;Szczegóły
966;;SCHRON KOŁO JASKINI PAJĘCZEJ;K.Pc-01.05;3.00;0.00;0.00;0.00;Szczegóły
967;;SCHRON KONFEDERATKA;K.Pd-01.34;2.00;0.00;0.00;0.00;Szczegóły
968;;SCHRON KOSTNICA;K.Bs-04. 58;2.65;0.00;0.00;0.00;Szczegóły GPS
969;;SCHRON LAMBDA;K.Bs-04. 59;4.10;0.00;0.00;0.00;Szczegóły GPS
970;;SCHRON MAĆKOWY;K.Bm-01.12;3.00;0.00;0.00;0.00;Szczegóły GPS
971;;SCHRON MEDYKÓW II;K.Bs-02.172;2.50;1.80;1.80;0.00;Szczegóły GPS
